"datetime","chla","amm","frp","temperature","oxygen","don","flow","windspeed","solar_irradiance"
2020-01-07,0.0066,16,9,25.043,3.55,500,NA,NA,NA
2020-01-14,0.017,NA,NA,26.519,2.715,NA,NA,NA,NA
2020-01-21,0.0295,13,5,25.52,4.05,530,NA,NA,NA
2020-01-29,0.022,NA,NA,26.9313333333333,2.02,NA,NA,NA,NA
2020-02-04,0.071,14,5,25.858,0.7,530,0.0363333334680647,NA,NA
2020-02-11,0.0096,NA,NA,24.9403333333333,6.34,NA,0.0226666669671734,NA,NA
2020-02-18,0.0049,100,5,25.3583333333333,6,460,0.0220416667095075,NA,NA
2020-02-25,0.0035,NA,NA,26.193,7.45,NA,0.0412916666828096,NA,NA
2020-03-04,0.018,15,15,24.066,4.69,480,NA,NA,NA
2020-03-10,0.0031,NA,NA,25.0513333333333,6.13,NA,NA,NA,NA
2020-03-17,0.00585,59,11,24.648,7.43,500,NA,NA,NA
2020-03-24,0.0038,NA,NA,23.1386666666667,3.545,NA,NA,NA,NA
2020-03-31,0.00725,24,6,21.4066666666667,6.25,460,NA,NA,NA
2020-04-07,0.0068,NA,NA,20.5123333333333,4.55,NA,NA,NA,NA
2020-04-15,0.0048,66,9,22.3183333333333,2.79,410,NA,NA,NA
2020-04-21,0.0033,NA,NA,20.3253333333333,6.45,NA,NA,NA,NA
2020-04-29,0.0131,10,5,18.908,7.26,350,0.0477083334699273,NA,NA
2020-05-05,0.0083,NA,NA,18.3746666666667,5.37,NA,0.217833330544333,NA,NA
2020-05-12,0.01255,20,15,15.8783333333333,8.06,380,0.0566666661761701,NA,NA
2020-05-19,0.018,NA,NA,15.1463333333333,7.9,NA,0.086041666722546,NA,NA
2020-05-27,0.00425,50,31,14.4626666666667,9.47,410,0.0507916665325562,NA,NA
2020-06-03,0.0023,NA,NA,15.5806666666667,1.67,NA,0.0470416668492059,NA,NA
2020-06-09,0.00405,120,32,15.2933333333333,12.12,360,0.0207083330024034,NA,NA
2020-06-16,0.002,NA,NA,15.877,3,NA,0.0518333334475756,NA,NA
2020-06-23,0.0034,83,30,14.14,5.08,450,0.166458332600693,NA,NA
2020-06-30,0.0017,NA,NA,15.2653333333333,6.16,NA,0.452208335200946,NA,NA
2020-07-07,0.0016,63,31,14.913,5.91,650,0.191208332777023,NA,NA
2020-07-14,0.002,NA,NA,14.5676666666667,7.22,NA,0.628624998033047,NA,NA
2020-07-21,0.0012,21,28,13.0436666666667,6.95,690,0.237624999756614,NA,NA
2020-07-28,0.0016,NA,NA,16.067,6.87,NA,0.327458329498768,NA,NA
2020-08-04,0.00175,57,25,13.4585,6.58,450,0.186291669184963,NA,NA
2020-08-11,0.0015,NA,NA,14.458,6.8,NA,0.566708336273829,NA,NA
2020-08-18,0.0011,35,17,14.2076666666667,7.6,390,0.608458330233892,NA,NA
2020-08-25,0.0014,NA,NA,15.0306666666667,7.29,NA,0.23370833384494,NA,NA
2020-09-01,0.0053,43,24,15.7236666666667,7.16,440,0.393958332637946,NA,NA
2020-09-08,0.0023,NA,NA,15.693,6.57,NA,0.790333328147729,NA,NA
2020-09-15,0.00195,38,31,17.3993333333333,5.76,420,0.274000002692143,NA,NA
2020-09-22,0.0019,NA,NA,15.6473333333333,6.96,NA,0.246708333492279,NA,NA
2020-09-30,0.0051,35,26,17.7313333333333,4.44,370,0.167374998951952,NA,NA
2020-10-06,0.0028,NA,NA,17.3563333333333,5.48,NA,0.115583333186805,NA,NA
2020-10-13,0.00635,32,24,20.35,1.19,440,0.0713749992040296,NA,NA
2020-10-20,0.0066,NA,NA,21.6176666666667,3.46,NA,0.090916666512688,NA,NA
2020-10-27,0.01215,15,17,21.8125,3.42,510,0.108083333199223,NA,NA
2020-11-03,0.0031,NA,NA,20.203,4.23,NA,0.14883333320419,NA,NA
2020-11-10,0.0054,14,28,18.9176666666667,5.3,390,0.417624998837709,NA,NA
2020-11-17,0.0028,NA,NA,20.183,6.29,NA,0.237374999249975,NA,NA
2020-11-24,0.022,59,17,23.7313333333333,6.56,480,0.130250000394881,NA,NA
2020-12-01,0.012,NA,NA,21.9506666666667,6.38,NA,0.121125001149873,NA,NA
2020-12-08,0.01095,10,10,23.1776666666667,2.44,570,0.0726250009611249,NA,NA
2020-12-15,0.0061,NA,NA,24.2093333333333,6.46,NA,0.0511666663611929,NA,NA
2020-12-22,0.00575,14,9,24.9963333333333,2.76,500,0.0461250001875063,NA,NA
2020-12-30,0.016,NA,NA,26.3376666666667,5.23,NA,0.0378749999217689,NA,NA
2021-01-05,0.01045,10,5,25.0436666666667,4.24,530,0.0329166668622444,NA,NA
2021-01-12,0.008,NA,NA,26.09,2.26,NA,0.0297916668932885,NA,NA
2021-01-19,0.0335,10,6,26.0173333333333,0.53,600,0.0377916668076068,NA,NA
2021-01-27,0.01,NA,NA,25.5813333333333,5.31,NA,0.0285000000149012,NA,NA
2021-02-02,0.032,10,5,25.7666666666667,3.31,540,0.0293750003911555,NA,NA
2021-02-16,0.00605,13,23,25.374,4.67,460,0.0326250000701596,NA,NA
2021-02-23,0.0062,NA,NA,25.4393333333333,6.22,NA,0.0544999997752408,NA,NA
2021-03-03,0.0073,46,29,23.0106666666667,5.14,410,0.110166666718821,NA,NA
2021-03-09,0.012,NA,NA,24.932,2.71,NA,0.0392916668206453,NA,NA
2021-03-23,0.011,NA,NA,23.5346666666667,6.42,NA,0.0292083334643394,NA,NA
2021-03-30,0.0076,10,5,23.3106666666667,6.47,400,0.033833333523944,NA,NA
2021-04-07,0.0065,NA,NA,23.665,5.86,NA,0.0437083340560397,NA,NA
2021-04-20,0.013,NA,NA,19.1133333333333,5.4,NA,0.0519166669497887,NA,NA
2021-04-28,0.0048,49,5,19.56,6.72,330,0.0495833333892127,NA,NA
2021-05-04,0.0054,NA,NA,17.6883333333333,5.95,NA,0.245166667116185,NA,NA
2021-05-12,0.00605,54,21,17.532,4.97,350,0.0526666669175029,NA,NA
2021-05-18,0.0042,NA,NA,17.2826666666667,4.59,NA,0.0672500006233652,NA,NA
2021-05-25,0.028,27,22,15.5823333333333,7,290,0.0595833339417974,NA,NA
2021-06-01,0.0017,NA,NA,14.9826666666667,5.62,NA,0.0843750005587935,NA,NA
2021-06-09,0.00285,82,29,13.141,6.85,400,0.0843333321778725,NA,NA
2021-06-22,0.00175,49,26,12.1853333333333,13.78,250,0.120125000675519,NA,NA
2021-06-29,0.0013,NA,NA,12.9433333333333,3.67,NA,0.176875001440446,NA,NA
2021-07-06,0.00185,18,20,13.524,6.88,490,1.61129166930914,NA,NA
2021-07-20,7e-04,18,43,14.6106666666667,6.85,430,2.54954166213671,NA,NA
2021-07-28,9e-04,NA,NA,14.1846666666667,6.77,NA,2.02220833301544,NA,NA
2021-08-03,7e-04,26,47,12.9783333333333,7.45,490,1.12983334561189,NA,NA
2021-08-11,8e-04,NA,NA,12.8743333333333,7.74,NA,1.23100002110004,NA,NA
2021-08-17,0.00125,47,43,15.104,7.26,450,0.498791673531135,NA,NA
