"year","week","datetime","chla","amm","frp","temperature","oxygen","don","flow"
2020,1,2020-01-07,0.0066,16,9,25.043,3.55,500,0.0363333334680647
2020,2,2020-01-14,0.017,13,5,26.519,2.715,530,0.0363333334680647
2020,3,2020-01-21,0.0295,13,5,25.52,4.05,530,0.0363333334680647
2020,4,2020-01-28,0.022,14,5,26.9313333333333,2.02,530,0.0363333334680647
2020,5,2020-02-04,0.0465,14,5,26.3946666666667,1.36,530,0.0363333334680647
2020,6,2020-02-11,0.0096,100,5,24.9403333333333,6.34,460,0.0226666669671734
2020,7,2020-02-18,0.0049,100,5,25.3583333333333,6,460,0.0220416667095075
2020,8,2020-02-25,0.0035,15,15,26.193,7.45,480,0.0412916666828096
2020,9,2020-03-03,0.018,15,15,24.066,4.69,480,0.0477083334699273
2020,10,2020-03-10,0.01055,37,13,24.5586666666667,5.41,490,0.0477083334699273
2020,11,2020-03-17,0.00585,59,11,24.648,7.43,500,0.0477083334699273
2020,12,2020-03-24,0.0038,24,6,23.1386666666667,3.545,460,0.0477083334699273
2020,13,2020-03-31,0.00725,24,6,21.4066666666667,6.25,460,0.0477083334699273
2020,14,2020-04-07,0.0068,66,9,20.5123333333333,4.55,410,0.0477083334699273
2020,15,2020-04-14,0.0048,66,9,22.3183333333333,2.79,410,0.0477083334699273
2020,16,2020-04-21,0.00405,38,7,21.3218333333333,4.62,380,0.0477083334699273
2020,17,2020-04-28,0.0131,10,5,18.908,7.26,350,0.0477083334699273
2020,18,2020-05-05,0.0107,15,10,18.6413333333333,6.315,365,0.13277083200713
2020,19,2020-05-12,0.01255,20,15,15.8783333333333,8.06,380,0.0566666661761701
2020,20,2020-05-19,0.018,50,31,15.1463333333333,7.9,410,0.086041666722546
2020,21,2020-05-26,0.00425,50,31,14.4626666666667,9.47,410,0.0507916665325562
2020,22,2020-06-02,0.00425,50,31,14.4626666666667,9.47,410,0.0507916665325562
2020,23,2020-06-09,0.003175,120,32,15.437,6.895,360,0.0338749999258046
2020,24,2020-06-16,0.002,83,30,15.877,3,450,0.0518333334475756
2020,25,2020-06-23,0.0034,83,30,14.14,5.08,450,0.166458332600693
2020,26,2020-06-30,0.0017,63,31,15.2653333333333,6.16,650,0.452208335200946
2020,27,2020-07-07,0.0016,63,31,14.913,5.91,650,0.191208332777023
2020,28,2020-07-14,0.002,21,28,14.5676666666667,7.22,690,0.628624998033047
