"datetime","chla","amm","frp","oxygen","temperature","don","flow","windspeed","solar_irradiance"
2020-01-07,0.00915,15,16,5.54,24.2016666666667,530,NA,NA,NA
2020-01-14,0.0074,NA,NA,4.96,26.543,NA,NA,NA,NA
2020-01-21,0.00725,54,8,4.53,25.0063333333333,550,NA,NA,NA
2020-01-29,0.016,NA,NA,5.41,26.723,NA,NA,NA,NA
2020-02-04,0.0255,18,7,4.55,26.0323333333333,550,0.0363333334680647,NA,NA
2020-02-11,0.004,NA,NA,6.06,24.6886666666667,NA,0.0226666669671734,NA,NA
2020-02-18,0.02,19,5,7.97,25.405,490,0.0220416667095075,NA,NA
2020-02-25,0.0084,NA,NA,6.77,25.89,NA,0.0412916666828096,NA,NA
2020-03-04,0.019,14,8,6.89,23.4423333333333,440,NA,NA,NA
2020-03-10,0.0028,NA,NA,5.91,24.5963333333333,NA,NA,NA,NA
2020-03-17,0.0024,110,12,6.44,24.349,470,NA,NA,NA
2020-03-24,0.006,NA,NA,6.65,23.1543333333333,NA,NA,NA,NA
2020-03-31,0.00155,140,11,4.65,21.2433333333333,400,NA,NA,NA
2020-04-07,0.0039,NA,NA,6.32,20.582,NA,NA,NA,NA
2020-04-15,0.00215,130,11,5.01,21.9406666666667,430,NA,NA,NA
2020-04-21,0.0028,NA,NA,6.23,19.896,NA,NA,NA,NA
2020-04-29,0.00345,52,8,6.69,18.4416666666667,380,0.0477083334699273,NA,NA
2020-05-05,0.0066,NA,NA,6.62,18.495,NA,0.217833330544333,NA,NA
2020-05-12,0.018,14,13,8.01,15.2516666666667,360,0.0566666661761701,NA,NA
2020-05-19,0.016,NA,NA,7.885,15.06,NA,0.086041666722546,NA,NA
2020-05-27,0.00415,64,32,8.3,14.553,400,0.0507916665325562,NA,NA
2020-06-03,0.0024,NA,NA,5.1,15.3386666666667,NA,0.0470416668492059,NA,NA
2020-06-09,0.00575,99,28,5.55,15.2716666666667,340,0.0207083330024034,NA,NA
2020-06-16,0.0037,NA,NA,5.9,15.8976666666667,NA,0.0518333334475756,NA,NA
2020-06-23,0.0037,88,28,6.81,14.0156666666667,380,0.166458332600693,NA,NA
2020-06-30,0.0011,NA,NA,6.03,15.3613333333333,NA,0.452208335200946,NA,NA
2020-07-07,0.0016,69,31,6.17,14.834,650,0.191208332777023,NA,NA
2020-07-14,0.0016,NA,NA,7.28,14.142,NA,0.628624998033047,NA,NA
2020-07-21,0.0014,51,29,6.86,13.2,660,0.237624999756614,NA,NA
2020-07-28,0.002,NA,NA,7.31,15.8476666666667,NA,0.327458329498768,NA,NA
2020-08-04,0.00195,52,24,6.55,13.5733333333333,420,0.186291669184963,NA,NA
2020-08-11,0.0018,NA,NA,6.83,14.4426666666667,NA,0.566708336273829,NA,NA
2020-08-18,0.0016,35,13,7.64,14.218,400,0.608458330233892,NA,NA
2020-08-25,0.0014,NA,NA,7.24,15.403,NA,0.23370833384494,NA,NA
2020-09-01,0.00715,38,18,7.56,15.5836666666667,380,0.393958332637946,NA,NA
2020-09-08,0.002,NA,NA,6.52,15.8815,NA,0.790333328147729,NA,NA
2020-09-15,0.00235,44,28,6.71,17.427,400,0.274000002692143,NA,NA
2020-09-22,0.0061,NA,NA,7.07,15.666,NA,0.246708333492279,NA,NA
2020-09-30,0.0091,36,25,6.34,17.687,390,0.167374998951952,NA,NA
2020-10-06,0.0043,NA,NA,6.64,16.9336666666667,NA,0.115583333186805,NA,NA
2020-10-13,0.0145,10,12,4.6,19.5753333333333,430,0.0713749992040296,NA,NA
2020-10-20,0.018,NA,NA,5.77,21.262,NA,0.090916666512688,NA,NA
2020-10-27,0.0125,10,12,2.61,21.946,510,0.108083333199223,NA,NA
2020-11-03,0.004,NA,NA,4.67,20.268,NA,0.14883333320419,NA,NA
2020-11-10,0.00785,49,25,5.17,19.2116666666667,370,0.417624998837709,NA,NA
2020-11-17,0.0035,NA,NA,6.19,20.3523333333333,NA,0.237374999249975,NA,NA
2020-11-24,0.017,15,12,6.91,23.2396666666667,440,0.130250000394881,NA,NA
2020-12-01,0.012,NA,NA,5.48,21.892,NA,0.121125001149873,NA,NA
2020-12-08,0.00645,10,11,4.52,23.003,570,0.0726250009611249,NA,NA
2020-12-15,0.011,NA,NA,6.87,23.0506666666667,NA,0.0511666663611929,NA,NA
2020-12-22,0.0043,10,7,6.45,24.989,490,0.0461250001875063,NA,NA
2020-12-30,0.0074,NA,NA,6.58,25.9963333333333,NA,0.0378749999217689,NA,NA
2021-01-05,0.0088,10,7,6.78,24.946,530,0.0329166668622444,NA,NA
2021-01-12,0.0061,NA,NA,5.02,25.852,NA,0.0297916668932885,NA,NA
2021-01-19,0.0101,10,7,1.61,26.1,560,0.0377916668076068,NA,NA
2021-01-27,0.0096,NA,NA,5.41,25.388,NA,0.0285000000149012,NA,NA
2021-02-02,0.00745,10,6,5.71,25.6666666666667,550,0.0293750003911555,NA,NA
2021-02-09,0.043,NA,NA,7.1,22.08,NA,NA,NA,NA
2021-02-16,0.013,10,12,5.75,24.9783333333333,470,0.0326250000701596,NA,NA
2021-02-23,0.003,NA,NA,7.38,24.525,NA,0.0544999997752408,NA,NA
2021-03-03,0.01,34,30,7.07,23.1523333333333,430,0.110166666718821,NA,NA
2021-03-09,0.014,NA,NA,5.65,24.7026666666667,NA,0.0392916668206453,NA,NA
2021-03-16,0.01125,10,16,5.1,22.6293333333333,410,NA,NA,NA
2021-03-23,0.0083,NA,NA,5.95,23.128,NA,0.0292083334643394,NA,NA
2021-03-30,0.0089,31,6,8.43,22.5943333333333,420,0.033833333523944,NA,NA
2021-04-07,0.0028,NA,NA,7.14,23.2653333333333,NA,0.0437083340560397,NA,NA
2021-04-13,0.0091,17,18,5.48,20.4893333333333,340,NA,NA,NA
2021-04-20,0.011,NA,NA,6.13,18.879,NA,0.0519166669497887,NA,NA
2021-04-28,0.0295,17,6,8.17,19.277,330,0.0495833333892127,NA,NA
2021-05-04,0.0096,NA,NA,8.29,17.77,NA,0.245166667116185,NA,NA
2021-05-12,0.0075,57,19,5.07,17.439,320,0.0526666669175029,NA,NA
2021-05-18,0.011,NA,NA,5.44,16.985,NA,0.0672500006233652,NA,NA
2021-05-25,0.0315,31,17,8.03,15.4516666666667,290,0.0595833339417974,NA,NA
2021-06-01,0.0028,NA,NA,5.6,15.061,NA,0.0843750005587935,NA,NA
2021-06-09,0.00255,94,27,7.43,13.0236666666667,400,0.0843333321778725,NA,NA
2021-06-15,0.001,NA,NA,20.72,14.4316666666667,NA,NA,NA,NA
2021-06-22,0.00155,57,25,NA,NA,260,0.120125000675519,NA,NA
2021-06-29,0.0013,NA,NA,7.02,12.4473333333333,NA,0.176875001440446,NA,NA
2021-07-13,6e-04,NA,NA,6.58,14.9115,NA,NA,NA,NA
2021-07-28,0.0011,NA,NA,6.78,14.205,NA,2.02220833301544,NA,NA
2021-08-03,6e-04,27,45,7.37,12.9803333333333,530,1.12983334561189,NA,NA
2021-08-11,8e-04,NA,NA,7.43,12.9533333333333,NA,1.23100002110004,NA,NA
2021-08-17,0.00155,54,46,7.04,15.0113333333333,510,0.498791673531135,NA,NA
2021-08-24,0.0022,NA,NA,7.15,14.493,NA,0.418416667729616,NA,NA
2021-08-31,0.0016,43,37,6.8,16.343,470,0.428208332508802,NA,NA
2021-09-07,0.0021,NA,NA,7.36,15.349,NA,0.346958331763744,NA,NA
2021-09-14,0.00165,35,38,7.14,15.7113333333333,510,0.275791669885318,NA,NA
2021-09-21,0.0015,NA,NA,6.97,16.4126666666667,NA,0.359499999632438,NA,NA
2021-09-29,0.0061,20,35,5.96,17.827,440,0.255874995142221,NA,NA
2021-10-05,0.0016,NA,NA,6.67,16.4423333333333,NA,0.472624998539686,NA,NA
2021-10-12,0.0017,38,40,6.49,17.0206666666667,420,0.333833336830139,NA,NA
2021-10-19,0.0045,NA,NA,5.41,19.7846666666667,NA,0.868875004351139,NA,NA
2021-10-26,0.00245,60,36,5.67,19.1716666666667,400,0.857416663318872,NA,NA
2021-11-02,0.0014,NA,NA,6.29,19.2086666666667,NA,0.249666664749384,NA,NA
2021-11-09,0.00415,56,34,6.69,19.8636666666667,500,0.143000001087785,NA,NA
2021-11-16,0.0047,NA,NA,8.91,21.9913333333333,NA,0.0719583337195218,NA,NA
2021-11-30,0.02,NA,NA,7.08,23.545,NA,0.0520833334885538,NA,NA
2021-12-07,0.0104,10,21,5.05,23.3173333333333,590,0.0529583335543672,NA,NA
