site_id,datetime,variable,observation
kent,1/7/20,chla,0.00915
kent,1/7/20,amm,15
kent,1/7/20,frp,16
kent,1/7/20,oxygen,5.54
kent,1/7/20,temperature,24.20166667
kent,1/7/20,don,530
kent,1/7/20,flow,0.036333333
kent,1/14/20,chla,0.0074
kent,1/14/20,amm,54
kent,1/14/20,frp,8
kent,1/14/20,oxygen,4.96
kent,1/14/20,temperature,26.543
kent,1/14/20,don,550
kent,1/14/20,flow,0.036333333
kent,1/21/20,chla,0.00725
kent,1/21/20,amm,54
kent,1/21/20,frp,8
kent,1/21/20,oxygen,4.53
kent,1/21/20,temperature,25.00633333
kent,1/21/20,don,550
kent,1/21/20,flow,0.036333333
kent,1/28/20,chla,0.016
kent,1/28/20,amm,18
kent,1/28/20,frp,7
kent,1/28/20,oxygen,5.41
kent,1/28/20,temperature,26.723
kent,1/28/20,don,550
kent,1/28/20,flow,0.036333333
kent,2/4/20,chla,0.02075
kent,2/4/20,amm,18
kent,2/4/20,frp,7
kent,2/4/20,oxygen,4.98
kent,2/4/20,temperature,26.37766667
kent,2/4/20,don,550
kent,2/4/20,flow,0.036333333
kent,2/11/20,chla,0.004
kent,2/11/20,amm,19
kent,2/11/20,frp,5
kent,2/11/20,oxygen,6.06
kent,2/11/20,temperature,24.68866667
kent,2/11/20,don,490
kent,2/11/20,flow,0.022666667
kent,2/18/20,chla,0.02
kent,2/18/20,amm,19
kent,2/18/20,frp,5
kent,2/18/20,oxygen,7.97
kent,2/18/20,temperature,25.405
kent,2/18/20,don,490
kent,2/18/20,flow,0.022041667
kent,2/25/20,chla,0.0084
kent,2/25/20,amm,14
kent,2/25/20,frp,8
kent,2/25/20,oxygen,6.77
kent,2/25/20,temperature,25.89
kent,2/25/20,don,440
kent,2/25/20,flow,0.041291667
kent,3/3/20,chla,0.019
kent,3/3/20,amm,14
kent,3/3/20,frp,8
kent,3/3/20,oxygen,6.89
kent,3/3/20,temperature,23.44233333
kent,3/3/20,don,440
kent,3/3/20,flow,0.047708333
kent,3/10/20,chla,0.0109
kent,3/10/20,amm,62
kent,3/10/20,frp,10
kent,3/10/20,oxygen,6.4
kent,3/10/20,temperature,24.01933333
kent,3/10/20,don,455
kent,3/10/20,flow,0.047708333
kent,3/17/20,chla,0.0024
kent,3/17/20,amm,110
kent,3/17/20,frp,12
kent,3/17/20,oxygen,6.44
kent,3/17/20,temperature,24.349
kent,3/17/20,don,470
kent,3/17/20,flow,0.047708333
kent,3/24/20,chla,0.006
kent,3/24/20,amm,140
kent,3/24/20,frp,11
kent,3/24/20,oxygen,6.65
kent,3/24/20,temperature,23.15433333
kent,3/24/20,don,400
kent,3/24/20,flow,0.047708333
kent,3/31/20,chla,0.00155
kent,3/31/20,amm,140
kent,3/31/20,frp,11
kent,3/31/20,oxygen,4.65
kent,3/31/20,temperature,21.24333333
kent,3/31/20,don,400
kent,3/31/20,flow,0.047708333
kent,4/7/20,chla,0.0039
kent,4/7/20,amm,130
kent,4/7/20,frp,11
kent,4/7/20,oxygen,6.32
kent,4/7/20,temperature,20.582
kent,4/7/20,don,430
kent,4/7/20,flow,0.047708333
kent,4/14/20,chla,0.00215
kent,4/14/20,amm,130
kent,4/14/20,frp,11
kent,4/14/20,oxygen,5.01
kent,4/14/20,temperature,21.94066667
kent,4/14/20,don,430
kent,4/14/20,flow,0.047708333
kent,4/21/20,chla,0.002475
kent,4/21/20,amm,91
kent,4/21/20,frp,9.5
kent,4/21/20,oxygen,5.62
kent,4/21/20,temperature,20.91833333
kent,4/21/20,don,405
kent,4/21/20,flow,0.047708333
kent,4/28/20,chla,0.00345
kent,4/28/20,amm,52
kent,4/28/20,frp,8
kent,4/28/20,oxygen,6.69
kent,4/28/20,temperature,18.44166667
kent,4/28/20,don,380
kent,4/28/20,flow,0.047708333
kent,5/5/20,chla,0.005025
kent,5/5/20,amm,33
kent,5/5/20,frp,10.5
kent,5/5/20,oxygen,6.655
kent,5/5/20,temperature,18.46833333
kent,5/5/20,don,370
kent,5/5/20,flow,0.132770832
kent,5/12/20,chla,0.018
kent,5/12/20,amm,14
kent,5/12/20,frp,13
kent,5/12/20,oxygen,8.01
kent,5/12/20,temperature,15.25166667
kent,5/12/20,don,360
kent,5/12/20,flow,0.056666666
kent,5/19/20,chla,0.016
kent,5/19/20,amm,64
kent,5/19/20,frp,32
kent,5/19/20,oxygen,7.885
kent,5/19/20,temperature,15.06
