"site_id","datetime","variable","observation"
"kent",2024-01-09,"chla",0.014
"kent",2024-01-09,"amm",17
"kent",2024-01-09,"don",480
"kent",2024-01-09,"frp",5
"kent",2024-01-09,"oxygen",7.18
"kent",2024-01-09,"temperature",25.897
"kent",2024-01-09,"flow",0.0417083338834345
"kent",2024-01-16,"chla",0.045
"kent",2024-01-16,"amm",17
"kent",2024-01-16,"don",480
"kent",2024-01-16,"frp",5
"kent",2024-01-16,"oxygen",7.95
"kent",2024-01-16,"temperature",28.9603333333333
"kent",2024-01-16,"flow",0.0352916667082657
"kent",2024-01-23,"chla",0.0062
"kent",2024-01-23,"amm",41
"kent",2024-01-23,"don",510
"kent",2024-01-23,"frp",5
"kent",2024-01-23,"oxygen",5.8
"kent",2024-01-23,"temperature",26.571
"kent",2024-01-23,"flow",0.0227083336018647
"kent",2024-01-30,"chla",0.01125
"kent",2024-01-30,"amm",41
"kent",2024-01-30,"don",510
"kent",2024-01-30,"frp",5
"kent",2024-01-30,"oxygen",6.14
"kent",2024-01-30,"temperature",24.6606666666667
"kent",2024-01-30,"flow",0.0615416668976347
"kent",2024-02-06,"chla",0.0043
"kent",2024-02-06,"amm",55
"kent",2024-02-06,"don",460
"kent",2024-02-06,"frp",5
"kent",2024-02-06,"oxygen",8.96
"kent",2024-02-06,"temperature",24.688
"kent",2024-02-06,"flow",0.0610416666604578
"kent",2024-02-13,"chla",0.00375
"kent",2024-02-13,"amm",55
"kent",2024-02-13,"don",460
"kent",2024-02-13,"frp",5
"kent",2024-02-13,"oxygen",9.57
"kent",2024-02-13,"temperature",26.03
"kent",2024-02-13,"flow",0.063875000923872
"kent",2024-02-20,"chla",0.006
"kent",2024-02-20,"amm",52
"kent",2024-02-20,"don",410
"kent",2024-02-20,"frp",6
"kent",2024-02-20,"oxygen",8.1
"kent",2024-02-20,"temperature",27.596
"kent",2024-02-20,"flow",0.069833332983156
"kent",2024-02-27,"chla",0.0104
"kent",2024-02-27,"amm",52
"kent",2024-02-27,"don",410
"kent",2024-02-27,"frp",6
"kent",2024-02-27,"oxygen",9.72
"kent",2024-02-27,"temperature",24.3966666666667
"kent",2024-02-27,"flow",0.0345833334916582
"kent",2024-03-05,"chla",0.0072
"kent",2024-03-05,"amm",59
"kent",2024-03-05,"don",390
"kent",2024-03-05,"frp",7
"kent",2024-03-05,"oxygen",9.22
"kent",2024-03-05,"temperature",24.8723333333333
"kent",2024-03-05,"flow",0.0276249998714775
"kent",2024-03-12,"chla",0.0073
"kent",2024-03-12,"amm",59
"kent",2024-03-12,"don",390
"kent",2024-03-12,"frp",7
"kent",2024-03-12,"oxygen",8.94
"kent",2024-03-12,"temperature",23.6676666666667
"kent",2024-03-12,"flow",0.0282916665698091
"kent",2024-03-19,"chla",0.0055
"kent",2024-03-19,"amm",34
"kent",2024-03-19,"don",330
"kent",2024-03-19,"frp",8
"kent",2024-03-19,"oxygen",10.26
"kent",2024-03-19,"temperature",23.4423333333333
"kent",2024-03-19,"flow",0.0337916668504477
"kent",2024-03-26,"chla",0.00685
"kent",2024-03-26,"amm",34
"kent",2024-03-26,"don",330
"kent",2024-03-26,"frp",8
"kent",2024-03-26,"oxygen",11.29
"kent",2024-03-26,"temperature",21.4943333333333
"kent",2024-03-26,"flow",0.031041666554908
"kent",2024-04-02,"chla",0.0047
"kent",2024-04-02,"amm",20
"kent",2024-04-02,"don",350
"kent",2024-04-02,"frp",5
"kent",2024-04-02,"oxygen",11.53
"kent",2024-04-02,"temperature",21.31
"kent",2024-04-02,"flow",0.0325416668007771
"kent",2024-04-09,"chla",0.013
"kent",2024-04-09,"amm",20
"kent",2024-04-09,"don",350
"kent",2024-04-09,"frp",5
"kent",2024-04-09,"oxygen",7.82
"kent",2024-04-09,"temperature",21.417
"kent",2024-04-09,"flow",0.0308333329545955
"kent",2024-04-16,"chla",0.0044
"kent",2024-04-16,"amm",36
"kent",2024-04-16,"don",340
"kent",2024-04-16,"frp",6
"kent",2024-04-16,"oxygen",9.17
"kent",2024-04-16,"temperature",20.5303333333333
"kent",2024-04-16,"flow",0.0336250003116826
"kent",2024-04-23,"chla",0.00405
"kent",2024-04-23,"amm",36
"kent",2024-04-23,"don",340
"kent",2024-04-23,"frp",6
"kent",2024-04-23,"oxygen",6.05
"kent",2024-04-23,"temperature",19.103
"kent",2024-04-23,"flow",0.0385833336040378
"kent",2024-04-30,"chla",0.0039
"kent",2024-04-30,"amm",67
"kent",2024-04-30,"don",310
"kent",2024-04-30,"frp",5
"kent",2024-04-30,"oxygen",6.77
"kent",2024-04-30,"temperature",18.007
"kent",2024-04-30,"flow",0.0487500000745058
"kent",2024-05-07,"chla",0.003
"kent",2024-05-07,"amm",67
"kent",2024-05-07,"don",310
"kent",2024-05-07,"frp",5
"kent",2024-05-07,"oxygen",7.94
"kent",2024-05-07,"temperature",17.297
"kent",2024-05-07,"flow",0.0397916664369404
"kent",2024-05-14,"chla",0.0035
"kent",2024-05-14,"amm",24
"kent",2024-05-14,"don",300
"kent",2024-05-14,"frp",6
"kent",2024-05-14,"oxygen",6.61
"kent",2024-05-14,"temperature",18.8966666666667
"kent",2024-05-14,"flow",0.0315000002738088
"kent",2024-05-21,"chla",0.0088
"kent",2024-05-21,"amm",24
"kent",2024-05-21,"don",300
"kent",2024-05-21,"frp",6
"kent",2024-05-21,"oxygen",7.28
"kent",2024-05-21,"temperature",17.4943333333333
"kent",2024-05-21,"flow",0.0412500002421439
"kent",2024-05-28,"chla",0.0064
"kent",2024-05-28,"amm",100
"kent",2024-05-28,"don",540
"kent",2024-05-28,"frp",46
"kent",2024-05-28,"oxygen",3.06
"kent",2024-05-28,"temperature",17.553
"kent",2024-05-28,"flow",0.413875001793106
"kent",2024-06-04,"chla",0.0038
"kent",2024-06-04,"amm",100
"kent",2024-06-04,"don",540
"kent",2024-06-04,"frp",46
"kent",2024-06-04,"oxygen",6.33
"kent",2024-06-04,"temperature",17.077
"kent",2024-06-04,"flow",0.0407083334090809
"kent",2024-06-11,"chla",0.0018
"kent",2024-06-11,"amm",110
"kent",2024-06-11,"don",520
"kent",2024-06-11,"frp",34
"kent",2024-06-11,"oxygen",5.25
"kent",2024-06-11,"temperature",17.1553333333333
"kent",2024-06-11,"flow",0.122083332700034
"kent",2024-06-18,"chla",0.0035
"kent",2024-06-18,"amm",110
"kent",2024-06-18,"don",520
"kent",2024-06-18,"frp",34
"kent",2024-06-18,"oxygen",6.22
"kent",2024-06-18,"temperature",15.1336666666667
"kent",2024-06-18,"flow",0.0466250008903444
"kent",2024-06-25,"chla",0.0033
"kent",2024-06-25,"amm",64
"kent",2024-06-25,"don",360
"kent",2024-06-25,"frp",23
"kent",2024-06-25,"oxygen",6.31
"kent",2024-06-25,"temperature",12.6033333333333
"kent",2024-06-25,"flow",0.0265416671366741
"kent",2024-07-02,"chla",0.0037
"kent",2024-07-02,"amm",64
"kent",2024-07-02,"don",360
"kent",2024-07-02,"frp",23
"kent",2024-07-02,"oxygen",7.43
"kent",2024-07-02,"temperature",14.2756666666667
"kent",2024-07-02,"flow",0.0564583335847904
"kent",2024-07-09,"chla",0.00285
"kent",2024-07-09,"amm",62
"kent",2024-07-09,"don",490
"kent",2024-07-09,"frp",25
"kent",2024-07-09,"oxygen",5.93
"kent",2024-07-09,"temperature",13.7953333333333
"kent",2024-07-09,"flow",0.11291666670392
"kent",2024-07-16,"chla",0.00285
"kent",2024-07-16,"amm",62
"kent",2024-07-16,"don",490
"kent",2024-07-16,"frp",25
"kent",2024-07-16,"oxygen",5.93
"kent",2024-07-16,"temperature",13.7953333333333
"kent",2024-07-16,"flow",0.11291666670392
"kent",2024-07-23,"chla",0.00115
"kent",2024-07-23,"amm",48
"kent",2024-07-23,"don",430
"kent",2024-07-23,"frp",29
"kent",2024-07-23,"oxygen",6.18
"kent",2024-07-23,"temperature",15.689
"kent",2024-07-23,"flow",0.764166660606861
"kent",2024-07-30,"chla",0.00115
"kent",2024-07-30,"amm",48
"kent",2024-07-30,"don",430
"kent",2024-07-30,"frp",29
"kent",2024-07-30,"oxygen",6.18
"kent",2024-07-30,"temperature",15.689
"kent",2024-07-30,"flow",0.764166660606861
"kent",2024-08-06,"chla",0.001
"kent",2024-08-06,"amm",53
"kent",2024-08-06,"don",520
"kent",2024-08-06,"frp",33
"kent",2024-08-06,"oxygen",6.9
"kent",2024-08-06,"temperature",13.7046666666667
"kent",2024-08-06,"flow",1.97912500177821
"kent",2024-08-13,"chla",0.00135
"kent",2024-08-13,"amm",53
"kent",2024-08-13,"don",520
"kent",2024-08-13,"frp",33
"kent",2024-08-13,"oxygen",6.01
"kent",2024-08-13,"temperature",16.3893333333333
"kent",2024-08-13,"flow",0.819708327452342
"kent",2024-08-20,"chla",0.0013
"kent",2024-08-20,"amm",44
"kent",2024-08-20,"don",340
"kent",2024-08-20,"frp",38
