tab_id,name
mtab1,Module Overview
mtab2,Presentation
mtab3,Introduction
mtab4,Activity A
obj1,Objective 1 - Select case study
obj2,Objective 2 - Explore data
obj3,Objective 3 - Learn about ARIMA model
obj4,Objective 4 - Fit model
obj5,Objective 5 - Assess model fit
mtab5,Activity B
obj6,Objective 6 - Upload data
obj7,Objective 7 - Fit model
obj8,Objective 8 - Assess model fit
obj9,Objective 9 - Communicate forecast
obj10,Objective 10 -  Assess forecast
mtab6,Activity C
obj11,Objective 11 - Update model
obj12,Objective 12 - Next forecast
